"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
80,"2040","RS85BROCK2",FALSE,TRUE,FALSE,FALSE,"RS85B","X",NA,"PIPO",89.8,6,"RS85BROCK2",22,FALSE,11.9,"","tree","","",35.5,16672.5228,-11850.86849,0,1428.4697780257,19.22705872,NA,329.51118
81,"1409","1410",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",46.1,4,"1410",244,FALSE,13.2,"","tree","","",257.5,62507.59032,-86551.4425,0,1725.8952351465,57.90907983,173.07508673066,184.35726
82,"2008","2004",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PSME",50.6,9,"2004",31,FALSE,11.2,"","tree","","",44.5,31554.8868,-32301.94075,0,1214.99715281909,37.24096769,NA,199.30446
83,"2025","2024",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",103.6,9,"2024",72,FALSE,1.6,"fire scar","tree","","",85.5,30532.73816,-33514.19954,0,1255.32507676169,219.4742138,NA,375.34926
84,"2501","2500",FALSE,TRUE,FALSE,FALSE,"SA03","X",NA,"ABCO",32,7,"2500",74,FALSE,13.8,"","tree","","",87.5,28005.03098,-48934.65295,0,1463.19728287839,35.6093589,NA,137.5227
85,"2527","2524",FALSE,TRUE,FALSE,FALSE,"RS10","X",NA,"PSME",43.8,12,"2524",140,FALSE,10.5,"","tree","","",153.5,33184.32073,-52959.23973,0,1276.9321500645,76.91787012,175.464641230352,176.71758
86,"2569","2566",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"PSME",123.5,8,"2566",0,FALSE,9.8,"","tree","","",13.5,28493.94277,-52331.22306,0,1204.01589027682,23.56265786,NA,441.4491
87,"1387","1386",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",25.4,7,"1386",76,FALSE,5.1,"","tree","","",89.5,-49168.17792,130823.9788,0,1679.94437302687,15.9765121,118.272518121553,115.60014
88,"1307","1305",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PSME",94.5,5,"1305",195,FALSE,26.2,"","tree","","",208.5,-61810.22321,111677.406,0,729.162860708397,50.8967893,NA,345.1227
89,"1363","1361",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PSME",45,11,"1361",70,FALSE,8.1,"","tree","","",83.5,-45413.18355,121746.6132,0,1790.58739172661,21.31821015,206.489406083185,180.7035
90,"4028","4027",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSMA",55.5,3,"4027",66,FALSE,9,"Depends on ref missing on datasheet","tree","","",79.5,-88268.37705,100327.3876,0,379.32961379547,46.49994261,262.33164042558,215.5803
91,"4005","4004",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",34.4,6,"4004",188,FALSE,12.6,"","tree","","",201.5,-89463.14969,102265.558,0,240.884501890891,53.52724144,127.041174236962,145.49454
92,"1226","1225",FALSE,TRUE,FALSE,FALSE,"RR7","X",NA,"PIPO",62.1,6,"1225",30,FALSE,12.5,"","tree","","",43.5,65209.95524,-91543.65748,0,1401.57337233149,74.08569433,261.256614581256,237.50286
93,"1134","1133",FALSE,TRUE,FALSE,FALSE,"HARDIN B","X",NA,"PIPO",37,9,"1133",218,TRUE,5.6,"","tree","","",51.5,7506.587954,-23024.66101,0,1255.83156851628,35.85160455,144.977181983706,154.1307
94,"1147","1145",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PSME",84.2,15,"1145",41,FALSE,10.7,"","tree","","",54.5,1460.207697,-21037.62419,0,1110.09192151897,NA,NA,310.91022
95,"1146","1145",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PIPO",74.2,9,"1145",334,FALSE,12.6,"","tree","","",347.5,1471.645872,-21043.712,0,1114.29560054675,27.19869514,NA,277.69422
96,"1112","1111",FALSE,FALSE,TRUE,FALSE,"YSO3","X",NA,"PIPO",42.7,7,"1111",320,FALSE,14.1,"","tree","","",333.5,2840.758422,-21372.71847,0,1196.50683673416,91.37785364,177.082738232841,173.06382
97,"1221","1220",FALSE,TRUE,FALSE,FALSE,"RT02C","X",NA,"PSME",52.7,9,"1220",46,FALSE,15.8,"","tree","","",59.5,66660.58007,-91289.65793,0,1530.07096288732,26.4256132,200.449069521485,206.27982
98,"1258","1254",FALSE,FALSE,TRUE,FALSE,"RR33","X",NA,"ABCO",43.3,10,"1254",304,FALSE,8.2,"","tree","","",317.5,62807.3033,-84125.25951,0,1682.66567362921,NA,196.12495480077,175.05678
99,"1271","RR71BOULDER",FALSE,TRUE,FALSE,FALSE,"RR71","X",NA,"PSME",62.5,4,"RR71BOULDER",76,FALSE,11,"","tree","","",89.5,63269.99701,-86832.00852,0,1941.21590929097,NA,NA,238.8315
100,"1438","1437",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PIPO",49.9,11,"1437",20,FALSE,3.7,"","tree","","",33.5,10529.54711,-48006.43648,0,1091.59651562524,12.83073343,212.551885972121,196.97934
101,"1499","1500",FALSE,TRUE,FALSE,FALSE,"YB01A","X",NA,"PIPO",45.1,9,"1500",360,FALSE,1.6,"","tree","","",13.5,10302.75645,-48117.7371,0,1109.77703633187,7.620931143,168.922143089833,181.03566
102,"2122","2116",FALSE,FALSE,TRUE,FALSE,"RS91H","X",NA,"PSME",53.9,8,"2116",322,FALSE,33.3,"","tree","","",335.5,15632.8274,-26062.78362,0,1472.23109489438,77.19811168,218.218988558422,210.26574
103,"2601","2600",FALSE,FALSE,TRUE,FALSE,"TEDDY","X",NA,"ABCO",41,10,"2600",10,FALSE,15.6,"","tree","","",23.5,30039.06145,-33434.76288,0,1202.33364575541,13.61798929,140.646821239291,167.4171
105,"1451","1450",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PILA",69.5,12,"1450",189,TRUE,2.9,"","tree","","",22.5,-48846.6566,130184.6924,0,1715.63946964677,23.30913575,NA,262.0827
106,"1463","1460",FALSE,TRUE,FALSE,FALSE,"ZA07","X",NA,"PIPO",55.7,5,"1460",181,FALSE,35.8,"","tree","","",194.5,-46984.33682,129467.8543,0,1938.64736544674,98.28794899,221.409734436582,216.24462
108,"4218","4217",FALSE,TRUE,FALSE,FALSE,"ULC1B","X",NA,"PSME",38,4,"4217",247,TRUE,6.2,"","tree","","",80.5,-83858.04712,105081.2755,0,428.590814981687,73.54730867,186.07220302831,157.4523
109,"1489","1488",FALSE,FALSE,TRUE,FALSE,"SS24","X",NA,"PIPO",80.3,6,"1488",172,FALSE,13.7,"","tree","","",185.5,-64026.76233,117786.0139,0,1246.14955609852,57.79363709,NA,297.95598
110,"1036","1035",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",28.5,14,"1035",295,FALSE,5.8,"","tree","","",308.5,-102905.2218,188416.1524,0,1183.96036608389,84.31979126,123.994886926404,125.8971
111,"1044","1088",FALSE,FALSE,TRUE,FALSE,"SS81B","X",NA,"ABCO",103.5,15,"1088",133,FALSE,11.3,"","tree","","",146.5,-102695.6455,188602.1046,0,1119.86162812227,24.05069624,NA,375.0171
112,"2107","2106",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"ABCO",65.4,11,"2106",51,FALSE,12.8,"","tree","","",64.5,15382.54495,-26345.7082,0,1492.15116517036,68.97047716,NA,248.46414
113,"2152","2151",FALSE,FALSE,TRUE,FALSE,"RS54","X",NA,"PSME",71.8,5,"2151",145,FALSE,11.7,"","tree","","",158.5,25646.62222,-33208.1317,0,1427.75151870255,52.15833806,NA,269.72238
